"","Difficulty","keyPostGameRating.keys","keyPostGameRating.rt","post_game_question","survey_planet","Block","Incentive","ExactAge","FlooredAge","AgeGroup","participant"
"43","Easy",6,0.7829,"How hard did you try?","moon","Easy 10¢","10¢",16.7315068493151,16,"Adolescents",6
"44","Hard",6,0.1944,"How hard did you try?","saturn","Hard 1¢","1¢",16.7315068493151,16,"Adolescents",6
"45","Hard",1,1.06,"How hard was this galaxy?","saturn","Hard 10¢","10¢",16.7315068493151,16,"Adolescents",6
"46","Easy",1,0.1416,"How hard was this galaxy?","moon","Easy 1¢","1¢",16.7315068493151,16,"Adolescents",6
"47","Easy",1,0.1226,"How hard was this galaxy?","moon","Easy 10¢","10¢",16.7315068493151,16,"Adolescents",6
"48","Hard",1,0.1322,"How hard was this galaxy?","saturn","Hard 1¢","1¢",16.7315068493151,16,"Adolescents",6
"49","Easy",5,3.5571,"How hard did you try?","saturn","Easy 10¢","10¢",13.6191780821918,13,"Adolescents",7
"50","Hard",4,3.2108,"How hard did you try?","moon","Hard 1¢","1¢",13.6191780821918,13,"Adolescents",7
"51","Hard",6,2.8855,"How hard did you try?","moon","Hard 10¢","10¢",13.6191780821918,13,"Adolescents",7
"52","Easy",5,2.7312,"How hard did you try?","saturn","Easy 1¢","1¢",13.6191780821918,13,"Adolescents",7
"53","Easy",7,3.562,"How hard was this galaxy?","saturn","Easy 10¢","10¢",13.6191780821918,13,"Adolescents",7
"54","Hard",5,3.0957,"How hard was this galaxy?","moon","Hard 1¢","1¢",13.6191780821918,13,"Adolescents",7
"55","Hard",6,3.3164,"How hard was this galaxy?","moon","Hard 10¢","10¢",13.6191780821918,13,"Adolescents",7
"56","Easy",3,3.3767,"How hard was this galaxy?","saturn","Easy 1¢","1¢",13.6191780821918,13,"Adolescents",7
"57","Hard",7,4.9803,"How hard did you try?","saturn","Hard 10¢","10¢",10.758904109589,10,"Children",8
"58","Easy",6,5.4217,"How hard did you try?","moon","Easy 1¢","1¢",10.758904109589,10,"Children",8
"59","Easy",3,3.952,"How hard did you try?","moon","Easy 10¢","10¢",10.758904109589,10,"Children",8
"60","Hard",4,4.1131,"How hard did you try?","saturn","Hard 1¢","1¢",10.758904109589,10,"Children",8
"61","Hard",3,0.5882,"How hard was this galaxy?","saturn","Hard 10¢","10¢",10.758904109589,10,"Children",8
"62","Easy",4,3.2049,"How hard was this galaxy?","moon","Easy 1¢","1¢",10.758904109589,10,"Children",8
"63","Easy",3,1.1198,"How hard was this galaxy?","moon","Easy 10¢","10¢",10.758904109589,10,"Children",8
"64","Hard",2,0.9615,"How hard was this galaxy?","saturn","Hard 1¢","1¢",10.758904109589,10,"Children",8
"65","Hard",7,6.8721,"How hard did you try?","saturn","Hard 10¢","10¢",18.2328767123288,18,"Adults",9
"66","Easy",5,4.7416,"How hard did you try?","moon","Easy 1¢","1¢",18.2328767123288,18,"Adults",9
"67","Easy",7,2.75,"How hard did you try?","moon","Easy 10¢","10¢",18.2328767123288,18,"Adults",9
"68","Hard",4,2.2195,"How hard did you try?","saturn","Hard 1¢","1¢",18.2328767123288,18,"Adults",9
"69","Hard",5,3.4649,"How hard was this galaxy?","saturn","Hard 10¢","10¢",18.2328767123288,18,"Adults",9
"70","Easy",3,2.4599,"How hard was this galaxy?","moon","Easy 1¢","1¢",18.2328767123288,18,"Adults",9
"71","Easy",5,3.9847,"How hard was this galaxy?","moon","Easy 10¢","10¢",18.2328767123288,18,"Adults",9
"72","Hard",2,3.3397,"How hard was this galaxy?","saturn","Hard 1¢","1¢",18.2328767123288,18,"Adults",9
"73","Easy",5,4.9877,"How hard did you try?","saturn","Easy 10¢","10¢",19.4684931506849,19,"Adults",10
"74","Hard",2,3.045,"How hard did you try?","moon","Hard 1¢","1¢",19.4684931506849,19,"Adults",10
"75","Hard",5,5.3696,"How hard did you try?","moon","Hard 10¢","10¢",19.4684931506849,19,"Adults",10
"76","Easy",2,3.0364,"How hard did you try?","saturn","Easy 1¢","1¢",19.4684931506849,19,"Adults",10
"77","Easy",4,7.4174,"How hard was this galaxy?","saturn","Easy 10¢","10¢",19.4684931506849,19,"Adults",10
"78","Hard",3,4.0877,"How hard was this galaxy?","moon","Hard 1¢","1¢",19.4684931506849,19,"Adults",10
"79","Hard",4,2.9685,"How hard was this galaxy?","moon","Hard 10¢","10¢",19.4684931506849,19,"Adults",10
"80","Easy",2,2.6241,"How hard was this galaxy?","saturn","Easy 1¢","1¢",19.4684931506849,19,"Adults",10
"81","Easy",7,4.0192,"How hard did you try?","saturn","Easy 10¢","10¢",15.9342465753425,15,"Adolescents",11
"82","Hard",7,2.6921,"How hard did you try?","moon","Hard 1¢","1¢",15.9342465753425,15,"Adolescents",11
"83","Hard",7,2.8465,"How hard did you try?","moon","Hard 10¢","10¢",15.9342465753425,15,"Adolescents",11
"84","Easy",7,2.9538,"How hard did you try?","saturn","Easy 1¢","1¢",15.9342465753425,15,"Adolescents",11
"85","Easy",4,54.9621,"How hard was this galaxy?","saturn","Easy 10¢","10¢",15.9342465753425,15,"Adolescents",11
"86","Hard",4,4.1253,"How hard was this galaxy?","moon","Hard 1¢","1¢",15.9342465753425,15,"Adolescents",11
"87","Hard",4,2.357,"How hard was this galaxy?","moon","Hard 10¢","10¢",15.9342465753425,15,"Adolescents",11
"88","Easy",4,2.4498,"How hard was this galaxy?","saturn","Easy 1¢","1¢",15.9342465753425,15,"Adolescents",11
"89","Hard",6,5.6414,"How hard did you try?","saturn","Hard 10¢","10¢",15.5835616438356,15,"Adolescents",12
"90","Easy",3,4.4198,"How hard did you try?","moon","Easy 1¢","1¢",15.5835616438356,15,"Adolescents",12
"91","Easy",6,5.6462,"How hard did you try?","moon","Easy 10¢","10¢",15.5835616438356,15,"Adolescents",12
"92","Hard",4,4.2055,"How hard did you try?","saturn","Hard 1¢","1¢",15.5835616438356,15,"Adolescents",12
"93","Hard",5,3.9752,"How hard was this galaxy?","saturn","Hard 10¢","10¢",15.5835616438356,15,"Adolescents",12
"94","Easy",3,2.8745,"How hard was this galaxy?","moon","Easy 1¢","1¢",15.5835616438356,15,"Adolescents",12
"95","Easy",5,1.0766,"How hard was this galaxy?","moon","Easy 10¢","10¢",15.5835616438356,15,"Adolescents",12
"96","Hard",3,0.6621,"How hard was this galaxy?","saturn","Hard 1¢","1¢",15.5835616438356,15,"Adolescents",12
"97","Easy",6,4.611,"How hard did you try?","saturn","Easy 10¢","10¢",11.572602739726,11,"Children",13
"98","Hard",5,3.9482,"How hard did you try?","moon","Hard 1¢","1¢",11.572602739726,11,"Children",13
"99","Hard",6,3.468,"How hard did you try?","moon","Hard 10¢","10¢",11.572602739726,11,"Children",13
"100","Easy",5,3.2391,"How hard did you try?","saturn","Easy 1¢","1¢",11.572602739726,11,"Children",13
"101","Easy",4,3.9511,"How hard was this galaxy?","saturn","Easy 10¢","10¢",11.572602739726,11,"Children",13
"102","Hard",4,3.1824,"How hard was this galaxy?","moon","Hard 1¢","1¢",11.572602739726,11,"Children",13
"103","Hard",4,2.5021,"How hard was this galaxy?","moon","Hard 10¢","10¢",11.572602739726,11,"Children",13
"104","Easy",4,1.8835,"How hard was this galaxy?","saturn","Easy 1¢","1¢",11.572602739726,11,"Children",13
"105","Hard",2,4.0405,"How hard did you try?","saturn","Hard 10¢","10¢",17.3287671232877,17,"Adolescents",14
"106","Easy",2,3.4489,"How hard did you try?","moon","Easy 1¢","1¢",17.3287671232877,17,"Adolescents",14
"107","Easy",2,1.6148,"How hard did you try?","moon","Easy 10¢","10¢",17.3287671232877,17,"Adolescents",14
"108","Hard",2,1.1725,"How hard did you try?","saturn","Hard 1¢","1¢",17.3287671232877,17,"Adolescents",14
"109","Hard",2,1.9762,"How hard was this galaxy?","saturn","Hard 10¢","10¢",17.3287671232877,17,"Adolescents",14
"110","Easy",2,1.2907,"How hard was this galaxy?","moon","Easy 1¢","1¢",17.3287671232877,17,"Adolescents",14
"111","Easy",2,1.1886,"How hard was this galaxy?","moon","Easy 10¢","10¢",17.3287671232877,17,"Adolescents",14
"112","Hard",2,1.1568,"How hard was this galaxy?","saturn","Hard 1¢","1¢",17.3287671232877,17,"Adolescents",14
"113","Easy",3,24.546,"How hard did you try?","saturn","Easy 10¢","10¢",12.0027397260274,12,"Children",15
"114","Hard",3,14.8197,"How hard did you try?","moon","Hard 1¢","1¢",12.0027397260274,12,"Children",15
"115","Hard",5,5.7581,"How hard did you try?","moon","Hard 10¢","10¢",12.0027397260274,12,"Children",15
"116","Easy",3,6.1763,"How hard did you try?","saturn","Easy 1¢","1¢",12.0027397260274,12,"Children",15
"117","Easy",4,13.3806,"How hard was this galaxy?","saturn","Easy 10¢","10¢",12.0027397260274,12,"Children",15
"118","Hard",3,4.8153,"How hard was this galaxy?","moon","Hard 1¢","1¢",12.0027397260274,12,"Children",15
"119","Hard",4,4.7947,"How hard was this galaxy?","moon","Hard 10¢","10¢",12.0027397260274,12,"Children",15
"120","Easy",4,10.9193,"How hard was this galaxy?","saturn","Easy 1¢","1¢",12.0027397260274,12,"Children",15
"121","Easy",7,3.7079,"How hard did you try?","saturn","Easy 10¢","10¢",10.6547945205479,10,"Children",16
"122","Hard",7,2.8808,"How hard did you try?","moon","Hard 1¢","1¢",10.6547945205479,10,"Children",16
"123","Hard",7,2.7333,"How hard did you try?","moon","Hard 10¢","10¢",10.6547945205479,10,"Children",16
"124","Easy",7,2.8491,"How hard did you try?","saturn","Easy 1¢","1¢",10.6547945205479,10,"Children",16
"125","Easy",3,2.1698,"How hard was this galaxy?","saturn","Easy 10¢","10¢",10.6547945205479,10,"Children",16
"126","Hard",3,1.5753,"How hard was this galaxy?","moon","Hard 1¢","1¢",10.6547945205479,10,"Children",16
"127","Hard",3,0.9867,"How hard was this galaxy?","moon","Hard 10¢","10¢",10.6547945205479,10,"Children",16
"128","Easy",3,1.1495,"How hard was this galaxy?","saturn","Easy 1¢","1¢",10.6547945205479,10,"Children",16
"129","Hard",7,3.8521,"How hard did you try?","saturn","Hard 10¢","10¢",20.5232876712329,20,"Adults",17
"130","Easy",7,4.1227,"How hard did you try?","moon","Easy 1¢","1¢",20.5232876712329,20,"Adults",17
"131","Easy",7,3.5268,"How hard did you try?","moon","Easy 10¢","10¢",20.5232876712329,20,"Adults",17
"132","Hard",7,2.7801,"How hard did you try?","saturn","Hard 1¢","1¢",20.5232876712329,20,"Adults",17
"133","Hard",6,5.5643,"How hard was this galaxy?","saturn","Hard 10¢","10¢",20.5232876712329,20,"Adults",17
"134","Easy",4,2.9805,"How hard was this galaxy?","moon","Easy 1¢","1¢",20.5232876712329,20,"Adults",17
"135","Easy",4,2.8532,"How hard was this galaxy?","moon","Easy 10¢","10¢",20.5232876712329,20,"Adults",17
"136","Hard",3,4.2611,"How hard was this galaxy?","saturn","Hard 1¢","1¢",20.5232876712329,20,"Adults",17
"137","Hard",2,0.9149,"How hard did you try?","saturn","Hard 10¢","10¢",17.9397260273973,17,"Adolescents",18
"138","Easy",2,6.4045,"How hard did you try?","moon","Easy 1¢","1¢",17.9397260273973,17,"Adolescents",18
"139","Easy",2,4.4276,"How hard did you try?","moon","Easy 10¢","10¢",17.9397260273973,17,"Adolescents",18
"140","Hard",2,2.895,"How hard did you try?","saturn","Hard 1¢","1¢",17.9397260273973,17,"Adolescents",18
"141","Hard",2,6.364,"How hard was this galaxy?","saturn","Hard 10¢","10¢",17.9397260273973,17,"Adolescents",18
"142","Easy",2,2.3469,"How hard was this galaxy?","moon","Easy 1¢","1¢",17.9397260273973,17,"Adolescents",18
"143","Easy",2,0.8486,"How hard was this galaxy?","moon","Easy 10¢","10¢",17.9397260273973,17,"Adolescents",18
"144","Hard",2,0.7636,"How hard was this galaxy?","saturn","Hard 1¢","1¢",17.9397260273973,17,"Adolescents",18
"145","Easy",5,11.4685,"How hard did you try?","saturn","Easy 10¢","10¢",16.1369863013699,16,"Adolescents",19
"146","Hard",4,3.7218,"How hard did you try?","moon","Hard 1¢","1¢",16.1369863013699,16,"Adolescents",19
"147","Hard",5,3.163,"How hard did you try?","moon","Hard 10¢","10¢",16.1369863013699,16,"Adolescents",19
"148","Easy",4,1.6859,"How hard did you try?","saturn","Easy 1¢","1¢",16.1369863013699,16,"Adolescents",19
"149","Easy",5,4.3936,"How hard was this galaxy?","saturn","Easy 10¢","10¢",16.1369863013699,16,"Adolescents",19
"150","Hard",3,2.5935,"How hard was this galaxy?","moon","Hard 1¢","1¢",16.1369863013699,16,"Adolescents",19
"151","Hard",4,3.4595,"How hard was this galaxy?","moon","Hard 10¢","10¢",16.1369863013699,16,"Adolescents",19
"152","Easy",3,1.6099,"How hard was this galaxy?","saturn","Easy 1¢","1¢",16.1369863013699,16,"Adolescents",19
"153","Hard",5,6.288,"How hard did you try?","saturn","Hard 10¢","10¢",12.7780821917808,12,"Children",20
"154","Easy",5,4.5292,"How hard did you try?","moon","Easy 1¢","1¢",12.7780821917808,12,"Children",20
"155","Easy",6,4.4784,"How hard did you try?","moon","Easy 10¢","10¢",12.7780821917808,12,"Children",20
"156","Hard",5,4.5748,"How hard did you try?","saturn","Hard 1¢","1¢",12.7780821917808,12,"Children",20
"157","Hard",5,5.9701,"How hard was this galaxy?","saturn","Hard 10¢","10¢",12.7780821917808,12,"Children",20
"158","Easy",5,3.5365,"How hard was this galaxy?","moon","Easy 1¢","1¢",12.7780821917808,12,"Children",20
"159","Easy",4,2.4227,"How hard was this galaxy?","moon","Easy 10¢","10¢",12.7780821917808,12,"Children",20
"160","Hard",5,1.2751,"How hard was this galaxy?","saturn","Hard 1¢","1¢",12.7780821917808,12,"Children",20
"161","Easy",5,5.182,"How hard did you try?","saturn","Easy 10¢","10¢",14.3013698630137,14,"Adolescents",21
"162","Hard",5,3.915,"How hard did you try?","moon","Hard 1¢","1¢",14.3013698630137,14,"Adolescents",21
"163","Hard",5,3.408,"How hard did you try?","moon","Hard 10¢","10¢",14.3013698630137,14,"Adolescents",21
"164","Easy",5,3.824,"How hard did you try?","saturn","Easy 1¢","1¢",14.3013698630137,14,"Adolescents",21
"165","Easy",4,3.564,"How hard was this galaxy?","saturn","Easy 10¢","10¢",14.3013698630137,14,"Adolescents",21
"166","Hard",4,3.107,"How hard was this galaxy?","moon","Hard 1¢","1¢",14.3013698630137,14,"Adolescents",21
"167","Hard",4,3.054,"How hard was this galaxy?","moon","Hard 10¢","10¢",14.3013698630137,14,"Adolescents",21
"168","Easy",3,4.706,"How hard was this galaxy?","saturn","Easy 1¢","1¢",14.3013698630137,14,"Adolescents",21
"169","Hard",5,7.1436,"How hard did you try?","saturn","Hard 10¢","10¢",13.6767123287671,13,"Adolescents",22
"170","Easy",4,4.9243,"How hard did you try?","moon","Easy 1¢","1¢",13.6767123287671,13,"Adolescents",22
"171","Easy",6,3.8046,"How hard did you try?","moon","Easy 10¢","10¢",13.6767123287671,13,"Adolescents",22
"172","Hard",4,3.0068,"How hard did you try?","saturn","Hard 1¢","1¢",13.6767123287671,13,"Adolescents",22
"173","Hard",4,3.7385,"How hard was this galaxy?","saturn","Hard 10¢","10¢",13.6767123287671,13,"Adolescents",22
"174","Easy",2,4.4062,"How hard was this galaxy?","moon","Easy 1¢","1¢",13.6767123287671,13,"Adolescents",22
"175","Easy",4,2.8485,"How hard was this galaxy?","moon","Easy 10¢","10¢",13.6767123287671,13,"Adolescents",22
"176","Hard",3,2.7894,"How hard was this galaxy?","saturn","Hard 1¢","1¢",13.6767123287671,13,"Adolescents",22
"177","Hard",4,5.2853,"How hard did you try?","saturn","Hard 10¢","10¢",15.9205479452055,15,"Adolescents",23
"178","Easy",3,4.9514,"How hard did you try?","moon","Easy 1¢","1¢",15.9205479452055,15,"Adolescents",23
"179","Easy",4,1.2519,"How hard did you try?","moon","Easy 10¢","10¢",15.9205479452055,15,"Adolescents",23
"180","Hard",3,1.184,"How hard did you try?","saturn","Hard 1¢","1¢",15.9205479452055,15,"Adolescents",23
"181","Hard",4,2.0525,"How hard was this galaxy?","saturn","Hard 10¢","10¢",15.9205479452055,15,"Adolescents",23
"182","Easy",3,0.9106,"How hard was this galaxy?","moon","Easy 1¢","1¢",15.9205479452055,15,"Adolescents",23
"183","Easy",4,0.7942,"How hard was this galaxy?","moon","Easy 10¢","10¢",15.9205479452055,15,"Adolescents",23
"184","Hard",3,0.5582,"How hard was this galaxy?","saturn","Hard 1¢","1¢",15.9205479452055,15,"Adolescents",23
"185","Hard",5,5.5277,"How hard did you try?","saturn","Hard 10¢","10¢",11.6547945205479,11,"Children",24
"186","Easy",4,2.4733,"How hard did you try?","moon","Easy 1¢","1¢",11.6547945205479,11,"Children",24
"187","Easy",5,2.015,"How hard did you try?","moon","Easy 10¢","10¢",11.6547945205479,11,"Children",24
"188","Hard",4,1.3315,"How hard did you try?","saturn","Hard 1¢","1¢",11.6547945205479,11,"Children",24
"189","Hard",3,4.1813,"How hard was this galaxy?","saturn","Hard 10¢","10¢",11.6547945205479,11,"Children",24
"190","Easy",3,0.8705,"How hard was this galaxy?","moon","Easy 1¢","1¢",11.6547945205479,11,"Children",24
"191","Easy",3,0.5196,"How hard was this galaxy?","moon","Easy 10¢","10¢",11.6547945205479,11,"Children",24
"192","Hard",3,0.7611,"How hard was this galaxy?","saturn","Hard 1¢","1¢",11.6547945205479,11,"Children",24
"193","Easy",7,5.3344,"How hard did you try?","saturn","Easy 10¢","10¢",19.6958904109589,19,"Adults",25
"194","Hard",7,4.2146,"How hard did you try?","moon","Hard 1¢","1¢",19.6958904109589,19,"Adults",25
"195","Hard",7,4.1701,"How hard did you try?","moon","Hard 10¢","10¢",19.6958904109589,19,"Adults",25
"196","Easy",7,4.1227,"How hard did you try?","saturn","Easy 1¢","1¢",19.6958904109589,19,"Adults",25
"197","Easy",1,4.2255,"How hard was this galaxy?","saturn","Easy 10¢","10¢",19.6958904109589,19,"Adults",25
"198","Hard",1,3.6409,"How hard was this galaxy?","moon","Hard 1¢","1¢",19.6958904109589,19,"Adults",25
"199","Hard",1,3.5636,"How hard was this galaxy?","moon","Hard 10¢","10¢",19.6958904109589,19,"Adults",25
"200","Easy",1,3.4295,"How hard was this galaxy?","saturn","Easy 1¢","1¢",19.6958904109589,19,"Adults",25
"201","Hard",4,7.996,"How hard did you try?","saturn","Hard 10¢","10¢",20.2712328767123,20,"Adults",26
"202","Easy",4,5.1456,"How hard did you try?","moon","Easy 1¢","1¢",20.2712328767123,20,"Adults",26
"203","Easy",4,2.1935,"How hard did you try?","moon","Easy 10¢","10¢",20.2712328767123,20,"Adults",26
"204","Hard",4,1.7909,"How hard did you try?","saturn","Hard 1¢","1¢",20.2712328767123,20,"Adults",26
"205","Hard",3,2.5316,"How hard was this galaxy?","saturn","Hard 10¢","10¢",20.2712328767123,20,"Adults",26
"206","Easy",3,2.1863,"How hard was this galaxy?","moon","Easy 1¢","1¢",20.2712328767123,20,"Adults",26
"207","Easy",4,1.442,"How hard was this galaxy?","moon","Easy 10¢","10¢",20.2712328767123,20,"Adults",26
"208","Hard",3,1.2899,"How hard was this galaxy?","saturn","Hard 1¢","1¢",20.2712328767123,20,"Adults",26
"209","Easy",6,3.4712,"How hard did you try?","saturn","Easy 10¢","10¢",14.613698630137,14,"Adolescents",27
"210","Hard",3,3.2966,"How hard did you try?","moon","Hard 1¢","1¢",14.613698630137,14,"Adolescents",27
"211","Hard",5,2.8508,"How hard did you try?","moon","Hard 10¢","10¢",14.613698630137,14,"Adolescents",27
"212","Easy",4,3.8289,"How hard did you try?","saturn","Easy 1¢","1¢",14.613698630137,14,"Adolescents",27
"213","Easy",4,3.0468,"How hard was this galaxy?","saturn","Easy 10¢","10¢",14.613698630137,14,"Adolescents",27
"214","Hard",2,2.2462,"How hard was this galaxy?","moon","Hard 1¢","1¢",14.613698630137,14,"Adolescents",27
"215","Hard",5,2.478,"How hard was this galaxy?","moon","Hard 10¢","10¢",14.613698630137,14,"Adolescents",27
"216","Easy",2,2.4816,"How hard was this galaxy?","saturn","Easy 1¢","1¢",14.613698630137,14,"Adolescents",27
"217","Easy",6,7.8894,"How hard did you try?","saturn","Easy 10¢","10¢",20.1945205479452,20,"Adults",28
"218","Hard",5,5.4152,"How hard did you try?","moon","Hard 1¢","1¢",20.1945205479452,20,"Adults",28
"219","Hard",7,3.6201,"How hard did you try?","moon","Hard 10¢","10¢",20.1945205479452,20,"Adults",28
"220","Easy",6,3.8069,"How hard did you try?","saturn","Easy 1¢","1¢",20.1945205479452,20,"Adults",28
"221","Easy",5,12.7093,"How hard was this galaxy?","saturn","Easy 10¢","10¢",20.1945205479452,20,"Adults",28
"222","Hard",3,2.832,"How hard was this galaxy?","moon","Hard 1¢","1¢",20.1945205479452,20,"Adults",28
"223","Hard",4,3.8774,"How hard was this galaxy?","moon","Hard 10¢","10¢",20.1945205479452,20,"Adults",28
"224","Easy",4,2.6568,"How hard was this galaxy?","saturn","Easy 1¢","1¢",20.1945205479452,20,"Adults",28
"225","Easy",5,6.0731,"How hard did you try?","saturn","Easy 10¢","10¢",12.8027397260274,12,"Children",29
"226","Hard",5,3.8985,"How hard did you try?","moon","Hard 1¢","1¢",12.8027397260274,12,"Children",29
"227","Hard",5,2.3063,"How hard did you try?","moon","Hard 10¢","10¢",12.8027397260274,12,"Children",29
"228","Easy",5,2.812,"How hard did you try?","saturn","Easy 1¢","1¢",12.8027397260274,12,"Children",29
"229","Easy",4,3.3457,"How hard was this galaxy?","saturn","Easy 10¢","10¢",12.8027397260274,12,"Children",29
"230","Hard",4,3.2397,"How hard was this galaxy?","moon","Hard 1¢","1¢",12.8027397260274,12,"Children",29
"231","Hard",4,3.2971,"How hard was this galaxy?","moon","Hard 10¢","10¢",12.8027397260274,12,"Children",29
"232","Easy",4,3.3904,"How hard was this galaxy?","saturn","Easy 1¢","1¢",12.8027397260274,12,"Children",29
"233","Easy",7,8.2807,"How hard did you try?","saturn","Easy 10¢","10¢",16.3369863013699,16,"Adolescents",30
"234","Hard",6,3.2551,"How hard did you try?","moon","Hard 1¢","1¢",16.3369863013699,16,"Adolescents",30
"235","Hard",7,3.8853,"How hard did you try?","moon","Hard 10¢","10¢",16.3369863013699,16,"Adolescents",30
"236","Easy",6,2.0784,"How hard did you try?","saturn","Easy 1¢","1¢",16.3369863013699,16,"Adolescents",30
"237","Easy",1,1.5609,"How hard was this galaxy?","saturn","Easy 10¢","10¢",16.3369863013699,16,"Adolescents",30
"238","Hard",1,0.7088,"How hard was this galaxy?","moon","Hard 1¢","1¢",16.3369863013699,16,"Adolescents",30
"239","Hard",1,0.8448,"How hard was this galaxy?","moon","Hard 10¢","10¢",16.3369863013699,16,"Adolescents",30
"240","Easy",1,1.3708,"How hard was this galaxy?","saturn","Easy 1¢","1¢",16.3369863013699,16,"Adolescents",30
"241","Easy",4,8.5673,"How hard did you try?","saturn","Easy 10¢","10¢",13.1424657534247,13,"Adolescents",31
